URL,Title,Year,Make,Model,VIN,Odometer,Vehicle Type,BID,document,Image URLs
https://www.rbauction.com/2018-ford-f-150-xlt-4x4-crew-cab-pickup?invId=13946799&id=ci&auction=montreal-qc-2023237,2018 Ford F-150 XLT 4x4 Crew Cab Pickup,2018,Ford,F-150,1FTFW1E55JKD61779,"92,847 km",Pickup,,https://cdn.ironpla.net/inspection/S01-42+CARFAX_13210143.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/ba1ebc53-5bb4-42ea-b3f4-b107e334ace4-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/e60f1e70-8729-494d-9e75-a7cf89cbb75f-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/08d33bc5-b3c4-4ac9-92fd-c0a85b07189f-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/abd4f51e-26c5-4c22-8524-3aa93e7cb897-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/6664f13c-0821-4762-a241-bf2e12d738d8-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/8bf54ff0-5102-4520-af75-8ce78e74fdad-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/143/558e0486-8edc-4d73-a78f-95e2aeb1c4eb-hr.jpg""]"
https://www.rbauction.com/2020-ford-f-150-xlt-xlt-4x4-crew-cab-pickup?invId=13946795&id=ci&auction=montreal-qc-2023237,2020 Ford F-150 XLT XLT 4x4 Crew Cab Pickup,2020,Ford,F-150 XLT,1FTFW1E59LKD69564,"97,396 km",Pickup,"$23,500 CAD",https://cdn.ironpla.net/inspection/S01-40+CARFAX_13210140.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/4768d982-3608-4076-a032-617e9c7b0c03-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/f88d5cfb-4ba1-452f-b0ee-59d5cb2c3220-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/f58e1cfc-23b0-4ebc-9887-eb1a1faeb2f7-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/fc1f89b7-7a1a-4a9e-a00e-765262b9caaa-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/e410eb56-e913-4f29-bfc4-d4fe19944fb3-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/c027c7e9-ec56-4bd4-b79b-5435fa3d5fb6-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/140/e19b8347-592f-4893-a98c-8a1da79636bd-hr.jpg""]"
https://www.rbauction.com/2018-dodge-ram-1500-4x4-crew-cab-pickup?invId=13990023&id=ci&auction=montreal-qc-2023237,2018 Dodge Ram 1500 4x4 Crew Cab Pickup,2018,Dodge,Ram 1500,1C6RR7FM4JS354990,"83,517 km",Pickup,"$15,500 CAD",https://cdn.ironpla.net/inspection/NF2-1+CARFAX_13533283.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/283/b34a7133-38d2-413d-a0e6-bd16423bc10a-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/283/6474b763-cc74-47fe-be76-5027ac8b35ee-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/283/b148b203-44d8-400b-b01d-9d3945e1affb-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/283/af4106f1-631f-4e6c-ad59-1b44a6a749ef-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/283/ff9757d1-21c2-4ef8-9ed6-6f3732f56bfd-med.jpg""]"
https://www.rbauction.com/2018-dodge-ram-1500-4x4-crew-cab-pickup?invId=13990056&id=ci&auction=montreal-qc-2023237,2018 Dodge Ram 1500 4x4 Crew Cab Pickup,2018,Dodge,Ram 1500,1C6RR7FM1JS354994,"98,044 km",Pickup,"$11,500 CAD",https://cdn.ironpla.net/inspection/NF2-2+CARFAX_13533284.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/284/4682a2f5-1e65-40ac-9fd5-4badf8ac4546-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/284/dfcb5d62-972b-49e2-81de-5c67af6922c2-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/284/0e581410-b2d4-4d22-8219-abbeeb65dc54-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/284/0d70a6e1-5527-4cd5-8979-373eb37c98a6-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13533/284/3f85d671-fe41-4b0b-8b11-54d8d22da964-med.jpg""]"
https://www.rbauction.com/2015-ford-f-250-xlt-4x4-extended-cab-pickup?invId=14016154&id=ci&auction=montreal-qc-2023237,2015 Ford F-250 XLT 4x4 Extended Cab Pickup,2015,Ford,F-250,1FT7X2BT1FEC85140,"396,269 km",Pickup,"$8,250 CAD",https://cdn.ironpla.net/inspection/W14-1+CARFAX_13633537.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13633/537/d6582970-3e81-4cbc-aecb-19e42e9b5268-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13633/537/d6582970-3e81-4cbc-aecb-19e42e9b5268-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13633/537/44d00550-a5c6-4377-8705-02a8ba0359bb-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13633/537/2c6ad6bd-cf91-491c-9f38-22b7edf1806f-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13633/537/7ef343d6-d968-4263-a63b-d7b47695ef0e-med.jpg""]"
https://www.rbauction.com/2003-alfa-see-ya-40f-motor-home?invId=14031101&id=ci&auction=montreal-qc-2023237,2003 Alfa See Ya 40F Motor Home,2003,Alfa See Ya,40F,4UZAAHAK03CL75188,"140,134 mil",Motor Home,"$7,250 CAD",https://cdn.ironpla.net/inspection/O20-1+CARFAX_13682534.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13682/534/abc889fb-cd5a-4041-90ad-eec6a2f1aeec-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13682/534/8f406cd3-db6b-4108-b3c6-e8b44e721839-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13682/534/3b3f48be-eab8-41b4-98a1-4c008baf3b91-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13682/534/da9d5bf8-92ee-4e62-adb5-d48c8d65a6f8-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13682/534/bebaad5e-7625-4308-8429-d93e46251448-med.jpg""]"
https://www.rbauction.com/2011-ram-2500-4x2-crew-cab-pickup?invId=13995191&id=ci&auction=montreal-qc-2023237,2011 Ram 2500 4x2 Crew Cab Pickup,2011,Ram,2500,3D7TP2CLXBG506885,"252,832 km",Pickup,"$5,500 CAD",https://cdn.ironpla.net/inspection/D10-10+CARFAX_13551875.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/875/455471a5-814b-4514-9d2d-b08132dd85ca-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/875/455471a5-814b-4514-9d2d-b08132dd85ca-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/875/0e9f2bec-cff6-4a95-a781-575d27b95913-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/875/d07ecf65-9a44-4590-b2ac-842c66d62669-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/875/fd6d7c21-7545-4076-9fc9-221c36c8a469-med.jpg""]"
https://www.rbauction.com/2010-dodge-ram-2500-4x2-crew-cab-pickup?invId=13995150&id=ci&auction=montreal-qc-2023237,2010 Dodge Ram 2500 4x2 Crew Cab Pickup,2010,Dodge,Ram 2500,3D7TP2CT0AG176110,"227,487 km",Pickup,"$5,000 CAD",https://cdn.ironpla.net/inspection/D10-9+CARFAX_13551874.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/874/d52cb621-4b0b-4374-b0cb-32242ca758e6-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/874/d52cb621-4b0b-4374-b0cb-32242ca758e6-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/874/24afb66c-7633-4c4b-a6f1-92c382f98b07-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/874/221be10f-02cd-40c2-be1e-c5c1500fd7b1-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/874/1a46e984-39a8-4feb-9968-540cbe36a57c-med.jpg""]"
https://www.rbauction.com/2015-ram-2500-4x2-crew-cab-pickup?invId=13995149&id=ci&auction=montreal-qc-2023237,2015 Ram 2500 4x2 Crew Cab Pickup,2015,Ram,2500,3C6TR4JTXFG556802,"298,420 km",Pickup,"$4,000 CAD",https://cdn.ironpla.net/inspection/D10-8+CARFAX_13551871.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/871/c62e40d4-accb-4b3b-85fe-fc3ab08f21f7-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/871/c62e40d4-accb-4b3b-85fe-fc3ab08f21f7-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/871/adfcd790-cae7-4d00-9598-c713fcb39f2c-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/871/644c07ae-655a-4f1a-bd01-7108bf24db68-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13551/871/d6f58536-4b1d-40d3-9bcd-662ee61540c2-med.jpg""]"
https://www.rbauction.com/2017-chevrolet-silverado-2500h-4x4-crew-cab-pickup?invId=14027100&id=ci&auction=montreal-qc-2023237,2017 Chevrolet Silverado 2500HD 4x4 Crew Cab Pickup,2017,Chevrolet,Silverado 2500HD,1GC1KUEG6HF149131,"98,727 km",Pickup,"$8,250 CAD",https://cdn.ironpla.net/inspection/Y16-3+CARFAX_13670788.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13670/788/44e82a15-cc59-4f53-94ab-f8872e5aecff-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13670/788/44e82a15-cc59-4f53-94ab-f8872e5aecff-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13670/788/c830cba6-496e-43e9-b31e-94f23bc5c9fe-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13670/788/5e7875fb-8d64-4d29-ad06-d830da2f93fc-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13670/788/c79ae5a4-5e76-4803-a1cc-ebdc387afdfa-med.jpg""]"
